Model_ID,Model,Dataset,Channel,Random_Seed,Random_Seed_Number,Epoch_Patience,n(total samples),P_actual(total patients),C_actual(total controls),P_actual/n,C_actual/n,C_CC,C_CP,P_CP,P_CC,P_CP/n,C_CC/n,P_CC/n,C_CP/n,Pres_P,Pres_C,Recall_P,Recall_C,F1_P,F1_C,macro_avg_Pres,macro_avg_Recall,macro_avg_F1,Test_Accuracy
RESnet50v2AllPatientsDystrophin,RESnet50v2,AllPatients,Dystrophin,C,108,200,28,20,8,0.714,0.286,7,1,19,1,0.679,0.25,0.036,0.036,0.95,0.875,0.95,0.875,0.95,0.875,0.913,0.913,0.913,92.86
RESnet50v2AllPatientsDystrophin,RESnet50v2,AllPatients,Dystrophin,D,106,200,28,22,6,0.786,0.214,5,1,21,1,0.75,0.179,0.036,0.036,0.955,0.833,0.955,0.833,0.955,0.833,0.894,0.894,0.894,92.86
RESnet50v2AllPatientsGRIM19,RESnet50v2,AllPatients,GRIM19,A,77,200,28,24,4,0.857,0.143,4,0,24,0,0.857,0.143,0,0,1,1,1,1,1,1,1,1,1,100
RESnet50v2AllPatientsGRIM19,RESnet50v2,AllPatients,GRIM19,B,94,200,28,18,10,0.643,0.357,9,1,17,1,0.607,0.321,0.036,0.036,0.944,0.9,0.944,0.9,0.944,0.9,0.922,0.922,0.922,92.86
RESnet50v2AllPatientsGRIM19,RESnet50v2,AllPatients,GRIM19,C,108,200,28,20,8,0.714,0.286,6,2,20,0,0.714,0.214,0,0.071,0.909,1,1,0.75,0.952,0.857,0.955,0.875,0.905,92.86
RESnet50v2AllPatientsGRIM19,RESnet50v2,AllPatients,GRIM19,D,106,200,28,22,6,0.786,0.214,6,0,21,1,0.75,0.214,0.036,0,1,0.857,0.955,1,0.977,0.923,0.929,0.978,0.95,96.43
RESnet50v2AllPatientsMTCO1,RESnet50v2,AllPatients,MTCO1,A,94,200,28,18,10,0.643,0.357,1,9,18,0,0.643,0.036,0,0.321,0.667,1,1,0.1,0.8,0.182,0.834,0.55,0.491,67.86
RESnet50v2AllPatientsMTCO1,RESnet50v2,AllPatients,MTCO1,B,78,200,28,20,8,0.714,0.286,3,5,20,0,0.714,0.107,0,0.179,0.8,1,1,0.375,0.889,0.545,0.9,0.688,0.717,82.14
RESnet50v2AllPatientsMTCO1,RESnet50v2,AllPatients,MTCO1,C,111,200,28,20,8,0.714,0.286,1,7,20,0,0.714,0.036,0,0.25,0.741,1,1,0.125,0.851,0.222,0.871,0.563,0.537,75
RESnet50v2AllPatientsMTCO1,RESnet50v2,AllPatients,MTCO1,D,105,200,28,22,6,0.786,0.214,4,2,22,0,0.786,0.143,0,0.071,0.917,1,1,0.667,0.957,0.8,0.959,0.834,0.879,92.86
RESnet50v2AllPatientsNDUFB8,RESnet50v2,AllPatients,NDUFB8,A,12,200,28,21,7,0.75,0.25,3,4,21,0,0.75,0.107,0,0.143,0.84,1,1,0.429,0.913,0.6,0.92,0.715,0.757,85.71
RESnet50v2AllPatientsNDUFB8,RESnet50v2,AllPatients,NDUFB8,B,72,200,28,19,9,0.679,0.321,7,2,17,2,0.607,0.25,0.071,0.071,0.895,0.778,0.895,0.778,0.895,0.778,0.837,0.837,0.837,85.71
RESnet50v2AllPatientsNDUFB8,RESnet50v2,AllPatients,NDUFB8,C,84,200,28,22,6,0.786,0.214,5,1,21,1,0.75,0.179,0.036,0.036,0.955,0.833,0.955,0.833,0.955,0.833,0.894,0.894,0.894,92.86
RESnet50v2AllPatientsNDUFB8,RESnet50v2,AllPatients,NDUFB8,D,95,200,28,19,9,0.679,0.321,5,4,19,0,0.679,0.179,0,0.143,0.826,1,1,0.556,0.905,0.715,0.913,0.778,0.81,85.71
RESnet50v2AllPatientsOSCP,RESnet50v2,AllPatients,OSCP,A,21,200,28,19,9,0.679,0.321,8,1,18,1,0.643,0.286,0.036,0.036,0.947,0.889,0.947,0.889,0.947,0.889,0.918,0.918,0.918,92.86
RESnet50v2AllPatientsOSCP,RESnet50v2,AllPatients,OSCP,B,34,200,28,22,6,0.786,0.214,5,1,22,0,0.786,0.179,0,0.036,0.957,1,1,0.833,0.978,0.909,0.979,0.917,0.944,96.43
RESnet50v2AllPatientsOSCP,RESnet50v2,AllPatients,OSCP,C,110,200,28,22,6,0.786,0.214,5,1,21,1,0.75,0.179,0.036,0.036,0.955,0.833,0.955,0.833,0.955,0.833,0.894,0.894,0.894,92.86
RESnet50v2AllPatientsOSCP,RESnet50v2,AllPatients,OSCP,D,105,200,28,22,6,0.786,0.214,6,0,20,2,0.714,0.214,0.071,0,1,0.75,0.909,1,0.952,0.857,0.875,0.955,0.905,92.86
RESnet50v2AllPatientsSDHA,RESnet50v2,AllPatients,SDHA,A,21,200,28,19,9,0.679,0.321,6,3,19,0,0.679,0.214,0,0.107,0.864,1,1,0.667,0.927,0.8,0.932,0.834,0.864,89.29
RESnet50v2AllPatientsSDHA,RESnet50v2,AllPatients,SDHA,B,94,200,28,18,10,0.643,0.357,8,2,15,3,0.536,0.286,0.107,0.071,0.882,0.727,0.833,0.8,0.857,0.762,0.805,0.817,0.81,82.14
RESnet50v2AllPatientsSDHA,RESnet50v2,AllPatients,SDHA,C,78,200,28,20,8,0.714,0.286,7,1,19,1,0.679,0.25,0.036,0.036,0.95,0.875,0.95,0.875,0.95,0.875,0.913,0.913,0.913,92.86
RESnet50v2AllPatientsSDHA,RESnet50v2,AllPatients,SDHA,D,124,200,28,23,5,0.821,0.179,4,1,23,0,0.821,0.143,0,0.036,0.958,1,1,0.8,0.979,0.889,0.979,0.9,0.934,96.43
RESnet50v2AllPatientsTOM22,RESnet50v2,AllPatients,TOM22,A,21,200,28,19,9,0.679,0.321,1,8,19,0,0.679,0.036,0,0.286,0.704,1,1,0.111,0.826,0.2,0.852,0.556,0.513,71.43
RESnet50v2AllPatientsTOM22,RESnet50v2,AllPatients,TOM22,B,97,200,28,23,5,0.821,0.179,2,3,22,1,0.786,0.071,0.036,0.107,0.88,0.667,0.957,0.4,0.917,0.5,0.774,0.679,0.709,85.71
RESnet50v2AllPatientsTOM22,RESnet50v2,AllPatients,TOM22,C,77,200,28,24,4,0.857,0.143,1,3,24,0,0.857,0.036,0,0.107,0.889,1,1,0.25,0.941,0.4,0.945,0.625,0.671,89.29
RESnet50v2AllPatientsTOM22,RESnet50v2,AllPatients,TOM22,D,124,200,28,23,5,0.821,0.179,1,4,23,0,0.821,0.036,0,0.143,0.852,1,1,0.2,0.92,0.333,0.926,0.6,0.627,85.71
RESnet50v2AllPatientsUqCRC2,RESnet50v2,AllPatients,UqCRC2,A,21,200,28,19,9,0.679,0.321,9,0,19,0,0.679,0.321,0,0,1,1,1,1,1,1,1,1,1,100
RESnet50v2AllPatientsUqCRC2,RESnet50v2,AllPatients,UqCRC2,B,77,200,28,24,4,0.857,0.143,3,1,23,1,0.821,0.107,0.036,0.036,0.958,0.75,0.958,0.75,0.958,0.75,0.854,0.854,0.854,92.86
RESnet50v2AllPatientsUqCRC2,RESnet50v2,AllPatients,UqCRC2,C,94,200,28,18,10,0.643,0.357,10,0,18,0,0.643,0.357,0,0,1,1,1,1,1,1,1,1,1,100
RESnet50v2AllPatientsUqCRC2,RESnet50v2,AllPatients,UqCRC2,D,124,200,28,23,5,0.821,0.179,5,0,22,1,0.786,0.179,0.036,0,1,0.833,0.957,1,0.978,0.909,0.917,0.979,0.944,96.43
RESnet50v2AllPatientsVDAC1,RESnet50v2,AllPatients,VDAC1,A,34,200,28,22,6,0.786,0.214,2,4,22,0,0.786,0.071,0,0.143,0.846,1,1,0.333,0.917,0.5,0.923,0.667,0.709,85.71
RESnet50v2AllPatientsVDAC1,RESnet50v2,AllPatients,VDAC1,B,21,200,28,19,9,0.679,0.321,4,5,18,1,0.643,0.143,0.036,0.179,0.783,0.8,0.947,0.444,0.857,0.571,0.792,0.696,0.714,78.57
RESnet50v2AllPatientsVDAC1,RESnet50v2,AllPatients,VDAC1,C,84,200,28,22,6,0.786,0.214,5,1,20,2,0.714,0.179,0.071,0.036,0.952,0.714,0.909,0.833,0.93,0.769,0.833,0.871,0.85,89.29
RESnet50v2AllPatientsVDAC1,RESnet50v2,AllPatients,VDAC1,D,95,200,28,19,9,0.679,0.321,6,3,18,1,0.643,0.214,0.036,0.107,0.857,0.857,0.947,0.667,0.9,0.75,0.857,0.807,0.825,85.71
